text,category,category_weight,urgency_score,priority_score,label
"I want to kill myself. I have tried therapy, medication, exercise, journaling — none of it works and I am so tired of being told to try harder when I have nothing left.",Mental Health,10,0.99,9.98,critical
i want to kill myself because living feels like punishment and i dont know what i did to deserve feeling this way every single day without a break,Mental Health,10,0.99,9.98,critical
i want to kill myself but i am scared of pain and i dont know what method would be painless and i hate that i am even thinking about that,Mental Health,10,0.99,9.98,critical
I want to kill myself. I said it to a lecturer once as a cry for help and they said 'don't be dramatic' and walked away and I have never told anyone since.,Mental Health,10,0.99,9.98,critical
i want to kill myself im sitting in the library right now and nobody around me knows and i feel completely invisible and like nothing i do matters,Mental Health,10,0.99,9.98,critical
i want to kill myself i stopped going to counseling because the waiting list was too long and now i have no support and things have gotten so much worse,Mental Health,10,0.99,9.98,critical
I want to kill myself and I have told three people in the last month and all three changed the subject and I do not know what else to do to get help.,Mental Health,10,0.99,9.98,critical
i want to kill myself i know this is a form and not a person but i needed to say it somewhere where someone might actually read it and do something,Mental Health,10,0.99,9.98,critical
been wanting to kill myself for so long it feels nrmal now and thats the scariest part it doesnt even shock me when i think it anymore,Mental Health,10,0.99,9.98,critical
I want to kill myself. I am a third year student and I have been hiding a serious mental health crisis for two years because I was afraid of being seen as weak.,Mental Health,10,0.99,9.98,critical
i want to kill myelf the only reason i havent is because i dont want to hurt my mother and i am running out of that reason,Mental Health,10,0.99,9.98,critical
i want to kill myself i keep researching it and then closing the browser and opening it again and i think that cycle means i need to tell someone now,Mental Health,10,0.99,9.98,critical
I want to kill myself. Please do not send me a list of resources. I need a real person to contact me today.,Mental Health,10,0.99,9.98,critical
i dont want to kill myself exactly but i have been standing on bridges and looking down for longer than i should and that feels like something i need to tell someone,Mental Health,10,0.99,9.98,critical
i want to kill myself i have cried every day for the past month and people keep telling me to chin up and stay positive and it makes me feel more alone not less,Mental Health,10,0.99,9.98,critical
I want to kill myself. University broke something in me that I do not think can be fixed and I am not sure I want to try anymore.,Mental Health,10,0.99,9.98,critical
i want to kill myslef and i am submitting this form because it is the closest thing i have to asking for help right now and i hope someone sees it,Mental Health,10,0.99,9.98,critical
I want to kill myself. Not impulsively — I have been thinking about it calmly and rationally for weeks and I think that is more frightening than crying about it.,Mental Health,10,0.99,9.98,critical
i overdossed on purpose two nights ago i took too many of my anxiety tablets and i slept for eighteen hours and when i woke up i was dissapointed that i was still here,Mental Health,10,0.99,9.98,critical
i want 2 kill myself no joke,Mental Health,10,0.99,9.98,critical
i cant do this anymore i want to die,Mental Health,10,0.99,9.98,critical
i want to kill myself i have no one left to call and i am sitting here alone and i dont know what to do next please someone see this,Mental Health,10,0.99,9.98,critical
everything hurts and i want it to stop permanently i dont see another way out anymore,Mental Health,10,0.99,9.98,critical
i tried to overdose last semester and nobody at the university knows and i am scared it will happen again because nothing has changed,Mental Health,10,0.99,9.98,critical
I cannot see a reason to stay alive anymore.,Mental Health,10,0.98,9.96,critical
Every day I wake up wishing I had not.,Mental Health,10,0.98,9.96,critical
I was drugged at a party and I think I was assaulted but I cannot remember.,Abuse,10,0.98,9.96,critical
I was coerced into sexual activity by someone in authority.,Abuse,10,0.98,9.96,critical
Honestly I want to kill myself every single day.,Mental Health,10,0.98,9.96,critical
I told my friend I want to kill myself and they laughed it off.,Mental Health,10,0.98,9.96,critical
I want to kill myself but I am too scared to do it.,Mental Health,10,0.98,9.96,critical
I want to kill myself because I failed my exams again.,Mental Health,10,0.98,9.96,critical
I want to kill myself I cannot afford to continue studying.,Mental Health,10,0.98,9.96,critical
I want to kill myself I have been crying for days and nothing helps.,Mental Health,10,0.98,9.96,critical
I wish I was dead.,Mental Health,10,0.98,9.96,critical
I do not see the point of being alive.,Mental Health,10,0.98,9.96,critical
I no longer want to exist.,Mental Health,10,0.98,9.96,critical
I am done with life.,Mental Health,10,0.98,9.96,critical
i wake up evrey morning and the frist thought in my head is that i want to die i dont know why i keep going to class when i feel like this insdie,Mental Health,10,0.98,9.96,critical
i want to end my life i have been documenting my feelings in a journal and when i read it back i realise how dark my thoughts have gotten and it terrifies me,Mental Health,10,0.98,9.96,critical
ive been self harming again and the cuts are getting deeper and more frequnt and a part of me doesnt care anymore becaus i feel like i deserve the pain,Mental Health,10,0.98,9.96,critical
i dont want to kill myself exactly but i lie in bed every night hoping that something will happen to me so i dont have to wake up and face another day of failure,Mental Health,10,0.98,9.96,critical
a senior student has been forcing me to do things i dont want to do and he says if i tell anyone he will make sure i get expelled and i am terified and dont know what to do,Abuse,10,0.98,9.96,critical
i have been sexually abused by somone in my res and i havent slept properly since it happened and i keep having flashbacks in lectures and i dont know how to make it stop,Abuse,10,0.98,9.96,critical
my ex partner broke into my flat last night and destroyed my things and threatened me and left and i dont know if he is coming back and i am shaking as i type this,Safety,10,0.98,9.96,critical
i have been injecting drugs that were given to me by someone at a party and i do not know what they are and my hands are shaking and i feel like i am dying but i am too ashamed to go to the hospital,Substance Abuse,10,0.98,9.96,critical
i keep wishing i coud just go to sleep and not wake up i dont technically want to kill myself but i dont want to be alive either and i dont know what that means,Mental Health,10,0.98,9.96,critical
honestly i want to kill myself every single morning when the alarm goes off and i remember that i have to go and pretend to be okay for another day,Mental Health,10,0.98,9.96,critical
i want to kill myslef every time i think about how much debt i will have when i graduate IF i graduate which is starting to feel impossible,Mental Health,10,0.98,9.96,critical
i want to kill myself every time i log into the student portal and see my academic record because it confirms everything i already believe about myself,Mental Health,10,0.98,9.96,critical
my partner told me that if i ever leave him he will post private videos of me online and send them to my family and i am paralised by fear and dont know what to do or who i can trust,Abuse,10,0.98,9.96,critical
i was assaulted by a member of res staff and i reported it to the warden and they told me to be careful about making accusations and now i feel like the institution is protecting him not me,Abuse,10,0.98,9.96,critical
i was threatened at knifepoint near the campus gate last night and i ran but the person knows where i live in res and i am too scared to go outside and i dont know who to tell,Safety,10,0.98,9.96,critical
wanna die tbh not coping at all,Mental Health,10,0.98,9.96,critical
thought abt ending it again last nite,Mental Health,10,0.98,9.96,critical
life is pointles i want it to stop,Mental Health,10,0.98,9.96,critical
ready to end evreything honestly,Mental Health,10,0.98,9.96,critical
My uncle comes into my room at night and I am afraid to speak up.,Abuse,9,0.97,9.94,critical
My stepfather has been abusing me physically for months and I am too scared to report it.,Abuse,10,0.97,9.94,critical
A peer threatened me with a weapon near campus.,Safety,10,0.97,9.94,critical
Sometimes I want to kill myself when the pressure gets too much.,Mental Health,10,0.97,9.94,critical
I keep telling myself I want to kill myself every morning.,Mental Health,10,0.97,9.94,critical
I wish I could just disappear forever.,Mental Health,10,0.97,9.94,critical
Life is not worth living anymore.,Mental Health,10,0.97,9.94,critical
I think about suicide every time I fail.,Mental Health,10,0.97,9.94,critical
Nobody would miss me if I was gone.,Mental Health,10,0.97,9.94,critical
I feel like everyone would be better off without me.,Mental Health,10,0.97,9.94,critical
I keep fantasizing about my own death.,Mental Health,10,0.97,9.94,critical
i smashed my head against the wall last night during a panic attak and i dont know if that counts as self harm but it scared me and i dont know what is happening to me,Mental Health,10,0.97,9.94,critical
my boyfirend hit me again last night and i coverd the bruises with makeup before my 8am lecture becaus i am so embarased and i dont know who to talk to about this without him finding out,Abuse,10,0.97,9.94,critical
My lecturer invites me to his office alone and makes comments about my body and touches my shoulder and I feel sick every time but I am scared that if I report it nobody will believe me over him.,Abuse,10,0.97,9.94,critical
my farther has been hitting me since i was a child and now that i am at university he still controls me by witholding money when i dont do what he says i am scared and i dont know how to get free from this situation,Abuse,10,0.97,9.94,critical
I have been in an abusive relationship for three years and I finally left but he is now following me across campus and waiting outside my lectures and I am genuinely terrified of what he will do next.,Abuse,10,0.97,9.94,critical
I received a message saying that if I testify in the misconduct hearing against my abuser they will make sure something bad happens to me and I am terrified to go forward but also terrified to stay silent.,Safety,10,0.97,9.94,critical
i have been mixing prescription pills with alcohol to cope with the pressure of exams and last week i passed out in my room and woke up not knowing how many hours had passed and i am scared,Substance Abuse,10,0.97,9.94,critical
I keep thinking about hurting myself and I cannot stop these thoughts.,Mental Health,9,0.96,9.92,critical
My lecturer made sexual advances toward me and I am terrified.,Abuse,10,0.96,9.92,critical
I have been cutting myself daily to cope and the wounds are getting worse.,Mental Health,10,0.96,9.92,critical
I have been feeling hopeless and I do not want to continue anymore.,Mental Health,10,0.95,9.9,critical
I mixed alcohol and sleeping pills last week and I am scared to tell anyone.,Substance Abuse,9,0.95,9.9,critical
Someone has been touching me inappropriately.,Abuse,9,0.97,9.88,critical
I was assaulted by an older student last weekend and told no one.,Abuse,9,0.95,9.88,critical
I have bruises from last night and I need medical help but I am scared.,Abuse,9,0.96,9.84,critical
someone has been following me home from campus every night this week and last night he was waiting outside my door and i am so scared i cant leave my room,Safety,9,0.96,9.84,critical
somone on campus has been leaving notes on my door with very detailed descriptions of my daily routine and it feels like i am being watched all the time and i cant sleep knowing someone knows my movements,Safety,9,0.96,9.84,critical
I am scared my partner will hurt me again.,Abuse,9,0.94,9.82,critical
My housemate physically attacked me and I have injuries.,Housing Issues,9,0.95,9.8,critical
I have been experiencing psychosis and I cannot tell what is real anymore.,Mental Health,9,0.95,9.8,critical
I was physically thrown out of my accommodation by my landlord at midnight with no warning and I have been sleeping outside for two nights because every shelter I called was full.,Housing Issues,9,0.95,9.8,critical
I received a note under my door saying they know where I sleep and what I look like and I do not know who sent it and I am genuinely terrified to be alone on campus.,Safety,9,0.95,9.8,critical
my housemate forces me to give him money every month and threatens to have me removed from the flat if i dont cooperate and i have no lease so i have no protection and nowhere else to go,Abuse,9,0.95,9.8,critical
i havnt been sober in three weeks i wake up and start drinkin before i even brush my teeth and i know i have a serious problem but i feel completely alone in this and too ashamed to tell my family,Substance Abuse,9,0.95,9.8,critical
I am in a relationship where I get hit regularly but I have nowhere to go.,Abuse,9,0.93,9.78,critical
I overdosed on alcohol last night and my friends just laughed.,Substance Abuse,9,0.93,9.78,critical
I am addicted to hard drugs and I feel completely out of control.,Substance Abuse,9,0.92,9.76,critical
I self-harmed again last night and the cut is deep.,Mental Health,9,0.93,9.76,critical
I collapsed in my room and nobody checked on me for two days.,Mental Health,9,0.94,9.76,critical
Someone is blackmailing me with intimate images and I do not know what to do.,Safety,9,0.94,9.76,critical
i havnt been able to stop drinkin since my grandfathers funaral three weeks ago i am drunk in most of my lectures and last night i drank until i blacked out completly alone in my room,Substance Abuse,9,0.94,9.76,critical
I have not taken my psychiatric medication in weeks and I am deteriorating fast.,Mental Health,9,0.93,9.72,critical
I am a first-year student and someone twice my age is forcing me into a relationship.,Abuse,9,0.93,9.72,critical
there is a gas leek in my room and the landlord has been ignoring my mesages for four days i can smell it when i wake up and i am scared to light anything in the flat,Housing Issues,9,0.93,9.72,critical
My landlord is threatening to harm me if I report the poor conditions.,Housing Issues,9,0.92,9.68,critical
I am shaking and crying and I do not know who to call.,Mental Health,9,0.92,9.64,critical
My roommates threaten me at night.,Housing Issues,8,0.91,9.62,critical
I have been experiencing blackouts and I do not know what is happening.,Mental Health,9,0.91,9.62,critical
Students keep insulting me in class every day.,Mental Health,9,0.91,9.62,critical
I passed out from hunger and woke up alone with no one to call.,Mental Health,9,0.91,9.62,critical
my entire flat has no electricity and it has been like this for two weeks and it is the middle of winter and i have been sleeping in my coat and i am getting sick but the university wont help,Housing Issues,9,0.91,9.62,critical
There was a physical fight in my house and I fear for my safety tonight.,Housing Issues,8,0.9,9.6,critical
My ex-partner is threatening to share private photos of me.,Safety,8,0.9,9.6,critical
I cannot breathe properly from anxiety and I need help right now.,Mental Health,9,0.9,9.6,critical
I have been sleep-deprived for weeks due to severe anxiety and I feel I am breaking down.,Mental Health,9,0.9,9.6,critical
I have not eaten in three days because I cannot stop crying.,Mental Health,9,0.89,9.58,critical
I confided in a friend and now the whole campus knows my trauma.,Mental Health,9,0.89,9.58,critical
I was locked out of my room in the cold and my landlord is ignoring me.,Housing Issues,7,0.88,9.46,critical
I had a panic attack so severe I thought I was dying and no one helped.,Mental Health,8,0.87,9.44,critical
I am being stalked by someone on campus and I am terrified.,Safety,8,0.88,9.44,critical
A group of students physically blocked me from leaving a room.,Safety,8,0.87,9.42,critical
I keep getting anonymous death threats on my phone.,Safety,8,0.9,9.6,high
I have been coerced into a relationship with someone much older who holds power over my academic situation and I am scared to end it because of what he might do to my academic progress.,Abuse,9,0.88,8.76,high
I have been living in my car because I lost my accommodation.,Housing Issues,8,0.88,8.56,high
my financial aid was cut without warning and i now owe the university fees i cannot pay and they have blocked my results and i cannot register for next year and i dont know what to do,Financial Problems,8,0.88,8.56,high
I drink alcohol every night just to fall asleep.,Substance Abuse,8,0.89,8.54,high
I am about to be evicted because I cannot pay rent.,Financial Problems,8,0.87,8.54,high
I cannot afford my chronic medication this month.,Financial Problems,8,0.87,8.54,high
I have not had a proper meal in five days because I spent my last money on transport to get to campus and I am too proud to ask anyone but I cannot concentrate and I feel faint in lectures,Financial Problems,8,0.87,8.54,high
i have been using self harm as a coping mechanism when the academic pressure gets too much and the marks on my arms are becoming more visible and i am scared someone will notice,Mental Health,8,0.87,8.54,high
A senior student is exploiting me financially and emotionally.,Abuse,8,0.86,8.52,high
I have been starving myself to afford textbooks.,Financial Problems,8,0.86,8.52,high
I started drinking heavily after my parents divorced and things got worse when I moved to university and now I cannot go a single day without alcohol and I know it is a problem but I do not know how to stop,Substance Abuse,8,0.86,8.52,high
I reported a sexual harassment incident to the student affairs office six weeks ago and have heard nothing and the person I reported is still in my class and makes eye contact with me every lecture.,Safety,8,0.86,8.52,high
I came out to my family last month and they have cut contact with me and I am now without any financial or emotional support and I am trying to stay in university but I am falling apart.,Mental Health,8,0.86,8.52,high
my mental health has deteriorated so much this year that I have started missing days at a time without notifying anyone and I feel like I am disappearing and nobody is looking for me,Mental Health,8,0.86,8.52,high
i was outed as gay without my consent by a classmate in a group chat and i am not safe at home if my family finds out and i am now terrified and angry and i dont know what to do,Safety,8,0.86,8.52,high
i have been evicted and i am currently staying in different friends rooms on rotation because i have nowhere permanent to go and the university knows and has offered no help,Housing Issues,8,0.86,8.52,high
i have been taking out informal loans at very high interest to cover fees and expenses and the debt is growing and i dont see how i will ever get out of this cycle,Financial Problems,8,0.86,8.52,high
I experienced a miscarriage alone during the semester and I told no one and went back to class the next day and I have been pretending I am fine ever since and I am very much not fine.,Mental Health,8,0.86,8.52,high
i was diagnosed with bipolar disorder during my first year and have been managing mostly alone and this semester has been a severe depressive episode and i am failing everything and nobody knows why,Mental Health,8,0.86,8.52,high
my abusive parent found out where my residence is and showed up unannounced and I had to hide in a friend's room and I am now scared every time there is a knock on my door,Abuse,8,0.86,8.52,high
my landlord has locked me out of my room claiming i owe rent i already paid and i have the receipts but he is not responding and i have nowhere to stay tonight,Housing Issues,8,0.86,8.52,high
I relapsed into alcohol dependency after two years of sobriety.,Substance Abuse,8,0.85,8.5,high
I have been dealing with severe depression for the last three months and I have not been able to get out of bed most mornings and my attendance has dropped so badly I may lose my registration.,Mental Health,8,0.85,8.5,high
i sold my laptop to pay rent this month and now i have to go to campus to use computers but the lab closes at six and my assignments are due and i dont have enough time to complete them,Financial Problems,8,0.85,8.5,high
my eating has become very disordered i restrict during the week and then binge at weekends and i purge sometimes and i know it is harmful but i feel completely out of control around food,Mental Health,8,0.85,8.5,high
I was attacked and robbed near campus last month and I have not been able to walk that route since. I take expensive taxis I cannot afford because I am too scared to walk and nobody at the university has checked on me.,Safety,8,0.85,8.5,high
I have run out of medication for my anxiety disorder and I cannot afford a private consultation to get a new prescription and the campus clinic has a three week waiting list and I am deteriorating.,Mental Health,8,0.85,8.5,high
I have been supporting my mother financially since my father lost his job and sending money home every month while also trying to cover my own expenses at university and I am drowning.,Financial Problems,8,0.85,8.5,high
my eating disorder has relapsed since the semester started and i am restricting again and people are starting to notice but when they ask i tell them i am fine and i hate lying but i cant stop,Mental Health,8,0.85,8.5,high
i cant afford my asthma medication this month and i have been rationing what i have left and managing with it but if i run out completely i could have a serious attack,Financial Problems,8,0.85,8.5,high
i have epilepsy and one of my modules requires working near equipment that could trigger a seizure and I told the department about it before semester started and they have still not made any alternative arrangements,Disability Support,8,0.85,8.5,high
my drug use started as social and is now daily and affecting every part of my life and my grades my relationships my finances and i am scared to get help because of the consequences,Substance Abuse,8,0.85,8.5,high
i was sexually harassed by a peer at a university event and when i reported it they said there were no witnesses and closed the case and the person is still in my program and i see him regularly,Abuse,8,0.85,8.5,high
my partner has been emotionally abusive for a long time and i ended the relationship but they are now harassing me daily and i feel unsafe,Abuse,8,0.85,8.5,high
I have missed so many classes that I might fail the whole year.,Financial Problems,8,0.86,8.48,high
I have been using stimulants to stay awake for exams and I feel dependent.,Substance Abuse,8,0.84,8.48,high
I am too anxious to leave my room to attend any classes.,Mental Health,8,0.84,8.48,high
i cant remember the last time i felt okay i wake up crying i go to sleep crying i sit in lectures and cant hear a word because my mind is so full of dark thoughts all the time,Mental Health,8,0.84,8.48,high
I have been taking my friend's Ritalin without a prescription to get through exams and I know it is wrong but I felt like I had no other choice and now I feel like I depend on it to function.,Substance Abuse,8,0.84,8.48,high
i have been experiencing flashbacks to a traumatic event that happened before university and they are triggered randomly sometimes in class and i freeze and cannot breathe and it is getting worse,Mental Health,8,0.84,8.48,high
"I have been self-isolating for two months. I stopped going to class, stopped answering messages and nobody from the university has reached out to ask where I am or whether I am okay.",Mental Health,8,0.84,8.48,high
I have been working night shifts to afford my fees and I arrive at morning lectures having not slept and I fall asleep in class and my grades are suffering and I am completely exhausted.,Financial Problems,8,0.84,8.48,high
my housemates are using hard drugs in the shared space and i have asked them to stop and they have threatened me and i feel unsafe in my own home but i have nowhere else to go,Housing Issues,8,0.84,8.48,high
i have been skipping every lecture for the past three weeks because my anxiety is so bad i cannot make myself leave the flat and i know it is getting worse but i dont know how to start addressing it,Mental Health,8,0.84,8.48,high
i cant remember the last time i genuinely laughed or felt happy about something everything feels gray and pointless and i am just going through the motions of being a student every day,Mental Health,8,0.84,8.48,high
i have been experiencing auditory hallucinations when i am very sleep deprived which is often and i am scared to tell anyone at the university in case they remove me from my program,Mental Health,8,0.84,8.48,high
someone posted my personal information including my home address on a public student forum and i dont know who did it or why and i feel extremely unsafe and violated,Bullying,8,0.84,8.48,high
I have been receiving racist voice notes and images from an anonymous number and I reported it to campus security and they said there was nothing they could do without a name.,Bullying,8,0.84,8.48,high
my family back home has had a financial crisis and I have had to send them money from my student allowance for three months and I now cannot cover my own basic expenses,Financial Problems,8,0.84,8.48,high
my father passed away during my final year and I took a week off and came back and was told my absence would affect my marks and nobody asked how I was doing or offered any support,Mental Health,8,0.84,8.48,high
i have been struggling with an addiction to gambling and i have lost significant amounts of money including study funds and i am ashamed and scared and i dont know how to tell anyone,Substance Abuse,8,0.84,8.48,high
my anxiety medication was changed by my doctor and the new one is not working and is making things worse and my next appointment is in five weeks and i am deteriorating in the meantime,Mental Health,8,0.84,8.48,high
i have been working three jobs to stay enrolled and i am exhausted and my grades are suffering and i feel like i am failing at everything simultaneously,Financial Problems,8,0.84,8.48,high
